food_name,time,url
Camembert uunissa,alle 30 min,https://public.keskofiles.com/f/recipe/uunicamember_KR11_22?w=400&h=225&fit=crop&q=60&fm=jpg
Tähtipizzat,yli 60 min,https://public.keskofiles.com/f/recipe/tahtipizzat_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Joulubrita,yli 60 min,https://public.keskofiles.com/f/recipe/joulubrita_KR11_22?w=400&h=225&fit=crop&q=60&fm=jpg
Mustikkapannacotta,yli 60 min,https://public.keskofiles.com/f/recipe/mustikkapannac_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Sinihomejuusto-päärynäsalaatti,alle 15 min,https://public.keskofiles.com/f/recipe/sinihomejuusto_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Possupaisti ja omenasalsa,yli 60 min,https://public.keskofiles.com/f/recipe/possupaisti_ja_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Siideriglögi,alle 15 min,https://public.keskofiles.com/f/recipe/siideriglogi_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Kahvijuustokakku,yli 60 min,https://public.keskofiles.com/f/recipe/kahvijuustokak_KR11_22?w=400&h=225&fit=crop&q=60&fm=jpg
Lohicrudo eli pikamarinoitu lohi,30 - 60 min,https://public.keskofiles.com/f/recipe/lohicrudo_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Savulohidippi,alle 30 min,https://public.keskofiles.com/f/recipe/Savulohidippi_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Lanttulaatikkorieska,alle 30 min,https://public.keskofiles.com/f/recipe/lanttulaatikkori_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Pienet juustococktailpalat,alle 30 min,https://public.keskofiles.com/f/recipe/pienet_juustoco_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Baot joulukinkusta,alle 30 min,https://public.keskofiles.com/f/recipe/baot_joulukink_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Antipastokranssi,alle 30 min,https://public.keskofiles.com/f/recipe/antipastokrans_KR11_22?w=400&h=225&fit=crop&q=60&fm=jpg
Marmoroidut piparit,alle 30 min,https://public.keskofiles.com/f/recipe/marmoroidut_pip_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Piparileivokset,alle 30 min,https://public.keskofiles.com/f/recipe/piparileivokset_KR11_22?w=400&h=225&fit=crop&q=60&fm=jpg
Vaahtokarkkikepit,alle 30 min,https://public.keskofiles.com/f/recipe/vaahtokarkkikep_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Vanilja-kanelipikkuleivät,yli 60 min,https://public.keskofiles.com/f/recipe/kanelipikkuleivat_22?w=400&h=225&fit=crop&q=60&fm=jpg
Minitaatelikakut,yli 60 min,https://public.keskofiles.com/f/recipe/minitaatelikakut_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Joulumokkapalat,30 - 60 min,https://public.keskofiles.com/f/recipe/joulumokkapalat_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Annanperunat,yli 60 min,https://public.keskofiles.com/f/recipe/Annanperunat_KR10_22?w=400&h=225&fit=crop&q=60&fm=jpg
Brownie-joulukuusi,alle 30 min,https://public.keskofiles.com/f/recipe/Brownie_joulukuu_KR1_23?w=400&h=225&fit=crop&q=60&fm=jpg
Juureslaatikko,yli 60 min,https://public.keskofiles.com/f/recipe/juureslaatikko_KR12_22?w=400&h=225&fit=crop&q=60&fm=jpg
Glögispritz,alle 15 min,https://public.keskofiles.com/f/recipe/glogispritz_KR11_22?w=400&h=225&fit=crop&q=60&fm=jpg
Yrttikuorrutettu paahtopaisti,yli 60 min,https://public.keskofiles.com/f/recipe/Yrttikuorrutettu_KR10_22?w=400&h=225&fit=crop&q=60&fm=jpg
Sipsipelti,alle 30 min,https://public.keskofiles.com/f/recipe/sipsipelti_KR5_22?w=400&h=225&fit=crop&q=60&fm=jpg
Gluteeniton voitaikina,yli 60 min,https://public.keskofiles.com/f/recipe/gluteenittomat_j_KR3_22?w=400&h=225&fit=crop&q=60&fm=jpg
Kylmäsavulohiruisnapit,alle 15 min,https://public.keskofiles.com/f/recipe/lohiruisnapit_21?w=400&h=225&fit=crop&q=60&fm=jpg
